true_label,feature,delta_sign,mdri_base,mdri_mut,mdri_change
Healthy,Variance of Central Frequency (VCF),minus,30.0050,30.2262,0.2212
Healthy,Variance of Central Frequency (VCF),plus,30.0050,30.0026,-0.0023
Healthy,RMS Envelope (RMSE),minus,30.0050,30.0000,-0.0050
Healthy,RMS Envelope (RMSE),plus,30.0050,48.4418,18.4368
Myopathy,Standard Deviation (SD),minus,98.3815,98.3170,-0.0645
Myopathy,Standard Deviation (SD),plus,98.3815,99.1970,0.8155
Myopathy,Integrated EMG (IEMG),minus,98.3815,98.2245,-0.1570
Myopathy,Integrated EMG (IEMG),plus,98.3815,98.6838,0.3023
Myopathy,Turn Count (TC),minus,98.3815,99.3372,0.9557
Myopathy,Turn Count (TC),plus,98.3815,98.0918,-0.2897
Myopathy,Willison Amplitude (WAMP),minus,98.3815,99.0278,0.6463
Myopathy,Willison Amplitude (WAMP),plus,98.3815,98.5862,0.2048
Myopathy,Motor Unit Action Potential (MUAP),minus,98.3815,98.1198,-0.2616
Myopathy,Motor Unit Action Potential (MUAP),plus,98.3815,99.7946,1.4132
Myopathy,Total Power (TP),minus,98.3815,99.0478,0.6664
Myopathy,Total Power (TP),plus,98.3815,98.2076,-0.1738
Myopathy,Variance of Central Frequency (VCF),minus,98.3815,99.8068,1.4254
Myopathy,Variance of Central Frequency (VCF),plus,98.3815,99.9165,1.5351
Myopathy,RMS Envelope (RMSE),minus,98.3815,99.0039,0.6224
Myopathy,RMS Envelope (RMSE),plus,98.3815,99.8844,1.5029
Myopathy,Standard Deviation (SD),minus,99.6711,99.7896,0.1185
Myopathy,Standard Deviation (SD),plus,99.6711,99.6837,0.0126
Myopathy,Integrated EMG (IEMG),minus,99.6711,99.6810,0.0099
Myopathy,Integrated EMG (IEMG),plus,99.6711,99.7392,0.0682
Myopathy,Turn Count (TC),minus,99.6711,98.7423,-0.9287
Myopathy,Turn Count (TC),plus,99.6711,99.9100,0.2389
Myopathy,Willison Amplitude (WAMP),minus,99.6711,99.9331,0.2620
Myopathy,Willison Amplitude (WAMP),plus,99.6711,99.1065,-0.5646
Myopathy,Motor Unit Action Potential (MUAP),minus,99.6711,99.9075,0.2364
Myopathy,Motor Unit Action Potential (MUAP),plus,99.6711,99.1181,-0.5530
Myopathy,Total Power (TP),minus,99.6711,99.5443,-0.1268
Myopathy,Total Power (TP),plus,99.6711,99.7098,0.0387
Myopathy,Variance of Central Frequency (VCF),minus,99.6711,99.9486,0.2776
Myopathy,Variance of Central Frequency (VCF),plus,99.6711,92.6196,-7.0515
Myopathy,RMS Envelope (RMSE),minus,99.6711,99.7204,0.0494
Myopathy,RMS Envelope (RMSE),plus,99.6711,98.3500,-1.3211
Myopathy,Standard Deviation (SD),minus,99.9628,99.8975,-0.0652
Myopathy,Standard Deviation (SD),plus,99.9628,99.9854,0.0226
Myopathy,Integrated EMG (IEMG),minus,99.9628,99.9566,-0.0062
Myopathy,Integrated EMG (IEMG),plus,99.9628,99.9790,0.0163
Myopathy,Turn Count (TC),minus,99.9628,99.9006,-0.0622
Myopathy,Turn Count (TC),plus,99.9628,99.9756,0.0128
Myopathy,Willison Amplitude (WAMP),minus,99.9628,99.8771,-0.0856
Myopathy,Willison Amplitude (WAMP),plus,99.9628,99.9779,0.0151
Myopathy,Motor Unit Action Potential (MUAP),minus,99.9628,99.8959,-0.0669
Myopathy,Motor Unit Action Potential (MUAP),plus,99.9628,99.8744,-0.0883
Myopathy,Total Power (TP),minus,99.9628,99.9715,0.0087
Myopathy,Total Power (TP),plus,99.9628,99.9924,0.0297
Myopathy,Variance of Central Frequency (VCF),minus,99.9628,99.6587,-0.3041
Myopathy,Variance of Central Frequency (VCF),plus,99.9628,99.9963,0.0335
Myopathy,RMS Envelope (RMSE),minus,99.9628,99.3968,-0.5660
